   Medha Speed Time Distance Recording System Type MRT 922
                    Long  Term Digital Report       Recorder Sl.No  2222
___________________________________________________________________________________________________________________________________________________________
Filename           :CMLM438             Locono  : 039027       FileSave Date : 23-05-2023
Userfilename       :                                   FileSave Time : 03:36:10 PM
Start Date , Time  :02/05/23  03:15:12  End Date , Time : 06/05/23   13:22:21
Shedname           :BRCY              Start Dist   : 0  End Dist : 2787.217
PC Software        :Msw 922 Ver 1.0
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
Driver ID :2165 GGC          Train No: 19020            Locono : 39027  Spd Limit :140 Kmph   Wheel Dia :1037 mm 
02/05/23 | 04:10:00 | 029 | 0257 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:10:30 | 027 | 0230 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:11:00 | 027 | 0231 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:11:30 | 025 | 0218 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:12:00 | 015 | 0176 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:12:27 | 000 | 0068 | Off | Off | On  | Off | Off | Off | Off | Off | STOP                      
02/05/23 | 04:12:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:13:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:13:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:14:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:14:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:15:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:15:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:16:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:16:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:17:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:17:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:18:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:18:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:19:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:19:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:20:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:20:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:21:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:21:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:22:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
02/05/23 | 04:22:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:23:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:23:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:24:27 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
02/05/23 | 04:24:57 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
