   Medha Speed Time Distance Recording System Type MRT 922
                    Long  Term Digital Report       Recorder Sl.No  4105
___________________________________________________________________________________________________________________________________________________________
Filename           :CMLM441             Locono  : 037341       FileSave Date : 23-05-2023
Userfilename       :37341                              FileSave Time : 03:36:56 PM
Start Date , Time  :19/05/23  16:05:02  End Date , Time : 23/05/23   10:13:30
Shedname           :BRC               Start Dist   : 0  End Dist : 599.395
PC Software        :Msw 922 Ver 1.0
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
Driver ID :BRC1173           Train No: 22960            Locono : 37341  Spd Limit :140 Kmph   Wheel Dia :1068 mm 
19/05/23 | 17:54:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:55:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:55:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:55:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power OFF                 
19/05/23 | 17:55:53 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power ON                  
19/05/23 | 17:56:20 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:56:50 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:57:20 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:57:50 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:58:20 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:58:50 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:59:20 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 17:59:50 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:00:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:00:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:01:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:01:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:02:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:02:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:03:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:03:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:04:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:04:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:05:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:05:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
19/05/23 | 18:06:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:06:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:07:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:07:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:08:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:08:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:09:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:09:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:10:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:10:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:11:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:11:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:12:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:12:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:13:00 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:13:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:13:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power OFF                 
19/05/23 | 18:13:46 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power ON                  
19/05/23 | 18:14:13 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:14:43 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:14:43 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power OFF                 
19/05/23 | 18:15:08 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power ON                  
19/05/23 | 18:15:34 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:16:04 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:16:34 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:16:36 | 000 | 0000 | Off | Off | Off | Off | Off | Off | Off | Off |                           
19/05/23 | 18:16:48 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:17:18 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:17:48 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:18:18 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:18:48 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:19:18 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:19:18 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power OFF                 
19/05/23 | 18:19:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power ON                  
19/05/23 | 18:19:30 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power OFF                 
19/05/23 | 18:19:56 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power ON                  
19/05/23 | 18:20:23 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:20:53 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:21:23 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:21:53 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:22:23 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:22:53 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:23:23 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:23:23 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power OFF                 
19/05/23 | 18:23:55 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power ON                  
19/05/23 | 18:24:22 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
___________________________________________________________________________________________________________________________________________________________
 Date      Time      Inst   Dist.  D1    D2    D3    D4    D5    D6    D7    D8     Event
                     Kmph   Mtrs      
___________________________________________________________________________________________________________________________________________________________
19/05/23 | 18:24:52 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:25:22 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:25:52 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:26:22 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:26:52 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:27:22 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:27:52 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:28:22 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:28:22 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power OFF                 
19/05/23 | 18:28:43 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power ON                  
19/05/23 | 18:29:10 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:29:40 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:30:10 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:30:40 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:31:10 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:31:40 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:32:10 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:32:40 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:33:10 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:33:40 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:33:40 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power OFF                 
19/05/23 | 18:33:59 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off | Power ON                  
19/05/23 | 18:34:26 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:34:56 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:35:26 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:35:56 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:36:26 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:36:56 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:37:26 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:37:56 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
19/05/23 | 18:38:26 | 000 | 0000 | Off | Off | On  | Off | Off | Off | Off | Off |                           
